"FocalAOU","Focal","n"
6770,"Kentucky Warbler",238
6790,"Mourning Warbler",145
6800,"MacGillivray's Warbler",119
6810,"Common Yellowthroat",789
6830,"Yellow-breasted Chat",420
6840,"Hooded Warbler",249
6850,"Wilson's Warbler",155
6860,"Canada Warbler",116
6870,"American Redstart",403
6882,"House Sparrow",762
7020,"Sage Thrasher",79
7030,"Northern Mockingbird",561
7040,"Gray Catbird",661
7050,"Brown Thrasher",625
7150,"Rock Wren",171
7180,"Carolina Wren",457
7190,"Bewick's Wren",144
7210,"House Wren",654
7221,"Pacific Wren",59
7222,"Winter Wren",147
7240,"Sedge Wren",142
7260,"Brown Creeper",229
7270,"White-breasted Nuthatch",626
7280,"Red-breasted Nuthatch",311
7290,"Brown-headed Nuthatch",110
7310,"Tufted Titmouse",491
7350,"Black-capped Chickadee",469
7360,"Carolina Chickadee",302
7380,"Mountain Chickadee",116
7430,"Bushtit",97
7480,"Golden-crowned Kinglet",171
7490,"Ruby-crowned Kinglet",165
7510,"Blue-gray Gnatcatcher",531
7540,"Townsend's Solitaire",101
7550,"Wood Thrush",509
7560,"Veery",273
7580,"Swainson's Thrush",191
7590,"Hermit Thrush",295
7610,"American Robin",859
7630,"Varied Thrush",65
7660,"Eastern Bluebird",615
7670,"Western Bluebird",85
7680,"Mountain Bluebird",142
